activity,confidence,timestamp
Still,100,21:05:45
Still,97,21:06:20
Unknown,97,21:06:20
On_Foot,97,21:06:20
Walking,97,21:06:20
On_Foot,96,21:06:38
Walking,96,21:06:38
Unknown,96,21:06:38
Still,96,21:06:38
On_Foot,96,21:06:49
Walking,96,21:06:49
Unknown,96,21:06:49
On_Bicycle,96,21:06:49
Still,96,21:06:49
Unknown,96,21:07:00
In_Vehicle,96,21:07:00
On_Bicycle,96,21:07:00
On_Foot,96,21:07:00
Walking,96,21:07:00
Running,96,21:07:00
Still,96,21:07:00
Still,100,21:07:07
Still,100,21:07:15
Still,100,21:07:25
Still,100,21:07:41
On_Foot,100,21:07:41
Walking,100,21:07:41
Unknown,100,21:07:41
In_Vehicle,100,21:07:41
On_Bicycle,100,21:07:41
Still,100,21:07:51
Still,100,21:08:01
Still,100,21:08:11
Still,100,21:08:21
Still,100,21:08:29
Still,100,21:08:37
Still,100,21:08:45
Still,100,21:08:53
Still,100,21:09:01
Still,100,21:09:09
Still,100,21:09:16
Still,100,21:09:24
Still,100,21:09:31
Still,100,21:09:39
Still,100,21:09:46
Still,100,21:09:54
Still,100,21:10:01
Still,100,21:10:09
Still,100,21:10:17
Still,100,21:10:25
Still,100,21:10:33
Still,100,21:10:41
Still,100,21:10:49
Still,100,21:10:57
Still,100,21:11:05
Still,100,21:11:13
Still,100,21:11:21
Still,100,21:11:29
Still,100,21:11:36
Still,100,21:11:44
Still,100,21:11:51
Still,100,21:11:59
Still,100,21:12:06
Still,100,21:12:14
Still,100,21:12:21
Still,100,21:12:29
Still,100,21:12:36
Still,100,21:12:44
Still,100,21:12:52
Still,100,21:13:00
Still,100,21:13:08
Still,100,21:13:16
Still,100,21:13:24
Still,100,21:13:32
Still,100,21:13:44
On_Foot,100,21:13:44
Walking,100,21:13:44
In_Vehicle,100,21:13:44
On_Bicycle,100,21:13:44
Running,100,21:13:44
Unknown,100,21:13:44
Tilting,100,21:13:56
Unknown,100,21:13:56
In_Vehicle,100,21:13:56
On_Bicycle,100,21:13:56
On_Foot,100,21:13:56
Walking,100,21:13:56
Running,100,21:13:56
Still,100,21:13:56
Unknown,100,21:14:07
In_Vehicle,100,21:14:07
On_Bicycle,100,21:14:07
On_Foot,100,21:14:07
Walking,100,21:14:07
Running,100,21:14:07
Still,100,21:14:07
Still,100,21:14:19
On_Foot,100,21:14:19
Walking,100,21:14:19
In_Vehicle,100,21:14:19
On_Bicycle,100,21:14:19
Unknown,100,21:14:19
Unknown,100,21:14:31
In_Vehicle,100,21:14:31
On_Bicycle,100,21:14:31
On_Foot,100,21:14:31
Walking,100,21:14:31
Running,100,21:14:31
Still,100,21:14:31
Tilting,100,21:14:42
Still,100,21:14:42
On_Foot,100,21:14:42
Walking,100,21:14:42
In_Vehicle,100,21:14:42
On_Bicycle,100,21:14:42
Unknown,100,21:14:42
Unknown,100,21:14:53
In_Vehicle,100,21:14:53
On_Bicycle,100,21:14:53
On_Foot,100,21:14:53
Walking,100,21:14:53
Running,100,21:14:53
Still,100,21:14:53
Unknown,100,21:15:05
In_Vehicle,100,21:15:05
On_Bicycle,100,21:15:05
On_Foot,100,21:15:05
Walking,100,21:15:05
Running,100,21:15:05
Still,100,21:15:05
Tilting,100,21:15:16
Unknown,100,21:15:16
In_Vehicle,100,21:15:16
On_Bicycle,100,21:15:16
On_Foot,100,21:15:16
Walking,100,21:15:16
Running,100,21:15:16
Still,100,21:15:16
Unknown,100,21:15:27
In_Vehicle,100,21:15:27
On_Bicycle,100,21:15:27
On_Foot,100,21:15:27
Walking,100,21:15:27
Running,100,21:15:27
Still,100,21:15:27
Unknown,100,21:15:38
In_Vehicle,100,21:15:38
On_Bicycle,100,21:15:38
On_Foot,100,21:15:38
Walking,100,21:15:38
Running,100,21:15:38
Still,100,21:15:38
Still,100,21:15:46
Unknown,100,21:15:57
In_Vehicle,100,21:15:57
On_Bicycle,100,21:15:57
On_Foot,100,21:15:57
Walking,100,21:15:57
Running,100,21:15:57
Still,100,21:15:57
Tilting,100,21:16:07
Unknown,100,21:16:07
In_Vehicle,100,21:16:07
On_Bicycle,100,21:16:07
On_Foot,100,21:16:07
Walking,100,21:16:07
Running,100,21:16:07
Still,100,21:16:07
Tilting,100,21:16:19
Unknown,100,21:16:19
In_Vehicle,100,21:16:19
On_Bicycle,100,21:16:19
On_Foot,100,21:16:19
Walking,100,21:16:19
Running,100,21:16:19
Still,100,21:16:19
Unknown,100,21:16:31
In_Vehicle,100,21:16:31
On_Bicycle,100,21:16:31
On_Foot,100,21:16:31
Walking,100,21:16:31
Running,100,21:16:31
Still,100,21:16:31
Unknown,100,21:16:43
In_Vehicle,100,21:16:43
On_Bicycle,100,21:16:43
On_Foot,100,21:16:43
Walking,100,21:16:43
Running,100,21:16:43
Still,100,21:16:43
Unknown,100,21:16:54
In_Vehicle,100,21:16:54
On_Bicycle,100,21:16:54
On_Foot,100,21:16:54
Walking,100,21:16:54
Running,100,21:16:54
Still,100,21:16:54
Unknown,100,21:17:06
In_Vehicle,100,21:17:06
On_Bicycle,100,21:17:06
On_Foot,100,21:17:06
Walking,100,21:17:06
Running,100,21:17:06
Still,100,21:17:06
Still,100,21:17:18
On_Foot,100,21:17:18
Walking,100,21:17:18
In_Vehicle,100,21:17:18
On_Bicycle,100,21:17:18
Unknown,100,21:17:18
Running,100,21:17:18
Still,100,21:17:30
Still,100,21:17:42
On_Foot,100,21:17:42
Walking,100,21:17:42
In_Vehicle,100,21:17:42
On_Bicycle,100,21:17:42
Unknown,100,21:17:42
Unknown,100,21:17:54
In_Vehicle,100,21:17:54
On_Bicycle,100,21:17:54
On_Foot,100,21:17:54
Walking,100,21:17:54
Running,100,21:17:54
Still,100,21:17:54
Unknown,100,21:18:06
In_Vehicle,100,21:18:06
On_Bicycle,100,21:18:06
On_Foot,100,21:18:06
Walking,100,21:18:06
Running,100,21:18:06
Still,100,21:18:06
Unknown,100,21:18:18
In_Vehicle,100,21:18:18
On_Bicycle,100,21:18:18
On_Foot,100,21:18:18
Walking,100,21:18:18
Running,100,21:18:18
Still,100,21:18:18
Still,100,21:18:29
In_Vehicle,100,21:18:29
On_Bicycle,100,21:18:29
On_Foot,100,21:18:29
Walking,100,21:18:29
Unknown,100,21:18:29
Unknown,100,21:18:41
In_Vehicle,100,21:18:41
On_Bicycle,100,21:18:41
On_Foot,100,21:18:41
Walking,100,21:18:41
Running,100,21:18:41
Still,100,21:18:41
Unknown,100,21:18:52
In_Vehicle,100,21:18:52
On_Bicycle,100,21:18:52
On_Foot,100,21:18:52
Walking,100,21:18:52
Running,100,21:18:52
Still,100,21:18:52
On_Bicycle,100,21:18:59
On_Bicycle,97,21:19:06
Unknown,97,21:19:06
Still,97,21:19:06
On_Bicycle,100,21:19:14
On_Bicycle,87,21:19:26
In_Vehicle,87,21:19:26
Unknown,87,21:19:26
On_Bicycle,98,21:19:34
In_Vehicle,98,21:19:34
Unknown,98,21:19:34
On_Bicycle,93,21:19:46
In_Vehicle,93,21:19:46
On_Foot,93,21:19:46
Walking,93,21:19:46
Unknown,93,21:19:46
On_Bicycle,83,21:19:58
In_Vehicle,83,21:19:58
Unknown,83,21:19:58
On_Foot,83,21:19:58
Walking,83,21:19:58
On_Bicycle,100,21:20:06
On_Bicycle,100,21:20:14
On_Bicycle,100,21:20:22
On_Bicycle,97,21:20:30
In_Vehicle,97,21:20:30
Unknown,97,21:20:30
On_Bicycle,99,21:20:38
Unknown,99,21:20:38
On_Bicycle,98,21:20:46
In_Vehicle,98,21:20:46
Unknown,98,21:20:46
On_Bicycle,100,21:20:54
On_Bicycle,99,21:21:02
Unknown,99,21:21:02
On_Bicycle,99,21:21:10
Unknown,99,21:21:10
On_Bicycle,99,21:21:22
In_Vehicle,99,21:21:22
On_Bicycle,97,21:21:34
In_Vehicle,97,21:21:34
Unknown,97,21:21:34
On_Bicycle,100,21:21:42
On_Bicycle,100,21:21:50
Unknown,100,21:22:02
In_Vehicle,100,21:22:02
On_Bicycle,100,21:22:02
On_Foot,100,21:22:02
Walking,100,21:22:02
Running,100,21:22:02
Still,100,21:22:02
On_Bicycle,100,21:22:10
On_Bicycle,100,21:22:18
On_Bicycle,97,21:22:25
In_Vehicle,97,21:22:25
Unknown,97,21:22:25
On_Bicycle,99,21:22:32
Unknown,99,21:22:32
On_Bicycle,100,21:22:39
On_Bicycle,100,21:22:51
On_Bicycle,100,21:22:59
On_Bicycle,100,21:23:06
On_Bicycle,99,21:23:14
Unknown,99,21:23:14
On_Bicycle,99,21:23:26
In_Vehicle,99,21:23:26
On_Bicycle,98,21:23:33
In_Vehicle,98,21:23:33
Unknown,98,21:23:33
Unknown,98,21:23:45
In_Vehicle,98,21:23:45
On_Bicycle,98,21:23:45
On_Foot,98,21:23:45
Walking,98,21:23:45
Running,98,21:23:45
Still,98,21:23:45
On_Bicycle,100,21:23:57
On_Bicycle,100,21:24:05
On_Bicycle,97,21:24:13
Unknown,97,21:24:13
On_Foot,97,21:24:13
Walking,97,21:24:13
On_Bicycle,91,21:24:25
In_Vehicle,91,21:24:25
Unknown,91,21:24:25
On_Bicycle,99,21:24:37
Unknown,99,21:24:37
On_Bicycle,98,21:24:45
Unknown,98,21:24:45
On_Bicycle,63,21:24:57
In_Vehicle,63,21:24:57
On_Foot,63,21:24:57
Walking,63,21:24:57
Still,63,21:24:57
Unknown,63,21:24:57
On_Bicycle,99,21:25:05
Unknown,99,21:25:05
On_Bicycle,100,21:25:13
On_Bicycle,100,21:25:21
On_Bicycle,99,21:25:33
Unknown,99,21:25:33
On_Bicycle,100,21:25:41
On_Bicycle,100,21:25:49
On_Bicycle,100,21:25:57
On_Bicycle,99,21:26:05
Unknown,99,21:26:05
On_Bicycle,100,21:26:17
On_Bicycle,99,21:26:25
Unknown,99,21:26:25
On_Bicycle,99,21:26:37
Unknown,99,21:26:37
On_Bicycle,97,21:26:45
In_Vehicle,97,21:26:45
On_Foot,97,21:26:45
Walking,97,21:26:45
Unknown,97,21:26:45
On_Bicycle,100,21:26:53
On_Bicycle,99,21:27:01
Unknown,99,21:27:01
On_Bicycle,87,21:27:13
In_Vehicle,87,21:27:13
On_Foot,87,21:27:13
Walking,87,21:27:13
Still,87,21:27:13
Unknown,87,21:27:13
On_Bicycle,99,21:27:21
Unknown,99,21:27:21
On_Bicycle,96,21:27:29
Unknown,96,21:27:29
In_Vehicle,96,21:27:29
Still,96,21:27:29
On_Bicycle,99,21:27:37
Unknown,99,21:27:37
On_Bicycle,98,21:27:45
Unknown,98,21:27:45
On_Bicycle,98,21:27:53
In_Vehicle,98,21:27:53
Unknown,98,21:27:53
On_Bicycle,97,21:28:01
Unknown,97,21:28:01
In_Vehicle,97,21:28:01
On_Bicycle,99,21:28:09
Unknown,99,21:28:09
On_Bicycle,95,21:28:21
In_Vehicle,95,21:28:21
Unknown,95,21:28:21
On_Bicycle,100,21:28:29
On_Bicycle,98,21:28:37
In_Vehicle,98,21:28:37
Unknown,98,21:28:37
On_Bicycle,100,21:28:49
On_Bicycle,100,21:28:57
On_Bicycle,97,21:29:05
Unknown,97,21:29:05
In_Vehicle,97,21:29:05
On_Bicycle,100,21:29:13
On_Bicycle,100,21:29:21
On_Bicycle,100,21:29:33
On_Bicycle,99,21:29:45
In_Vehicle,99,21:29:45
On_Bicycle,100,21:29:53
On_Bicycle,100,21:30:01
On_Bicycle,100,21:30:13
On_Bicycle,98,21:30:21
In_Vehicle,98,21:30:21
Unknown,98,21:30:21
On_Bicycle,100,21:30:29
On_Bicycle,100,21:30:37
On_Bicycle,97,21:30:45
In_Vehicle,97,21:30:45
On_Foot,97,21:30:45
Walking,97,21:30:45
Unknown,97,21:30:45
On_Bicycle,100,21:30:57
On_Bicycle,99,21:31:09
Unknown,99,21:31:09
On_Bicycle,99,21:31:17
In_Vehicle,99,21:31:17
On_Bicycle,100,21:31:25
On_Bicycle,99,21:31:33
Unknown,99,21:31:33
On_Bicycle,81,21:31:45
In_Vehicle,81,21:31:45
On_Foot,81,21:31:45
Walking,81,21:31:45
Still,81,21:31:45
Unknown,81,21:31:45
On_Bicycle,100,21:31:57
On_Bicycle,100,21:32:09
On_Bicycle,100,21:32:17
On_Bicycle,98,21:32:25
In_Vehicle,98,21:32:25
Unknown,98,21:32:25
On_Bicycle,86,21:32:37
In_Vehicle,86,21:32:37
On_Foot,86,21:32:37
Walking,86,21:32:37
Unknown,86,21:32:37
Running,86,21:32:37
Unknown,86,21:32:49
In_Vehicle,86,21:32:49
On_Bicycle,86,21:32:49
On_Foot,86,21:32:49
Walking,86,21:32:49
Running,86,21:32:49
Still,86,21:32:49
On_Bicycle,98,21:32:56
In_Vehicle,98,21:32:56
Unknown,98,21:32:56
On_Bicycle,85,21:33:08
In_Vehicle,85,21:33:08
Unknown,85,21:33:08
On_Foot,85,21:33:08
Walking,85,21:33:08
On_Bicycle,100,21:33:16
On_Bicycle,100,21:33:24
On_Bicycle,98,21:33:36
In_Vehicle,98,21:33:36
Unknown,98,21:33:36
On_Bicycle,98,21:33:44
Unknown,98,21:33:44
On_Bicycle,97,21:33:52
Unknown,97,21:33:52
In_Vehicle,97,21:33:52
On_Bicycle,98,21:34:00
Unknown,98,21:34:00
On_Bicycle,99,21:34:12
Unknown,99,21:34:12
On_Bicycle,99,21:34:20
Unknown,99,21:34:20
On_Bicycle,100,21:34:28
On_Bicycle,100,21:34:36
On_Bicycle,100,21:34:44
On_Bicycle,91,21:34:54
In_Vehicle,91,21:34:54
Unknown,91,21:34:54
Still,91,21:35:05
On_Foot,91,21:35:05
Walking,91,21:35:05
In_Vehicle,91,21:35:05
On_Bicycle,91,21:35:05
Running,91,21:35:05
Unknown,91,21:35:05
Unknown,91,21:35:16
In_Vehicle,91,21:35:16
On_Bicycle,91,21:35:16
On_Foot,91,21:35:16
Walking,91,21:35:16
Running,91,21:35:16
Still,91,21:35:16
Unknown,91,21:35:28
In_Vehicle,91,21:35:28
On_Bicycle,91,21:35:28
On_Foot,91,21:35:28
Walking,91,21:35:28
Running,91,21:35:28
Still,91,21:35:28
On_Bicycle,85,21:35:39
In_Vehicle,85,21:35:39
On_Foot,85,21:35:39
Walking,85,21:35:39
Unknown,85,21:35:39
Still,85,21:35:39
Unknown,85,21:35:50
In_Vehicle,85,21:35:50
On_Bicycle,85,21:35:50
On_Foot,85,21:35:50
Walking,85,21:35:50
Running,85,21:35:50
Still,85,21:35:50
Unknown,85,21:36:01
In_Vehicle,85,21:36:01
On_Bicycle,85,21:36:01
On_Foot,85,21:36:01
Walking,85,21:36:01
Running,85,21:36:01
Still,85,21:36:01
Unknown,85,21:36:13
In_Vehicle,85,21:36:13
On_Bicycle,85,21:36:13
On_Foot,85,21:36:13
Walking,85,21:36:13
Running,85,21:36:13
Still,85,21:36:13
Still,99,21:36:21
Unknown,99,21:36:21
Unknown,99,21:36:33
In_Vehicle,99,21:36:33
On_Bicycle,99,21:36:33
On_Foot,99,21:36:33
Walking,99,21:36:33
Running,99,21:36:33
Still,99,21:36:33
On_Foot,97,21:36:41
Walking,97,21:36:41
Unknown,97,21:36:41
On_Foot,98,21:36:48
Walking,98,21:36:48
Unknown,98,21:36:48
On_Foot,98,21:36:55
Walking,98,21:36:55
Unknown,98,21:36:55
On_Foot,98,21:37:02
Walking,98,21:37:02
Unknown,98,21:37:02
On_Foot,92,21:37:14
Walking,92,21:37:14
On_Bicycle,92,21:37:14
Unknown,92,21:37:14
In_Vehicle,92,21:37:14
Running,92,21:37:14
On_Foot,89,21:37:25
Walking,89,21:37:25
Unknown,89,21:37:25
On_Bicycle,89,21:37:25
Running,89,21:37:25
Still,89,21:37:25
In_Vehicle,89,21:37:25
On_Foot,89,21:37:36
Walking,89,21:37:36
Unknown,89,21:37:36
On_Bicycle,89,21:37:36
Running,89,21:37:36
Still,89,21:37:36
In_Vehicle,89,21:37:36
Unknown,89,21:37:48
In_Vehicle,89,21:37:48
On_Bicycle,89,21:37:48
On_Foot,89,21:37:48
Walking,89,21:37:48
Running,89,21:37:48
Still,89,21:37:48
On_Foot,97,21:37:55
Walking,97,21:37:55
Unknown,97,21:37:55
Still,97,21:37:55
On_Foot,98,21:38:03
Walking,98,21:38:03
Unknown,98,21:38:03
On_Foot,98,21:38:11
Walking,98,21:38:11
Unknown,98,21:38:11
Unknown,98,21:38:23
In_Vehicle,98,21:38:23
On_Bicycle,98,21:38:23
On_Foot,98,21:38:23
Walking,98,21:38:23
Running,98,21:38:23
Still,98,21:38:23
In_Vehicle,92,21:38:35
Still,92,21:38:35
On_Bicycle,92,21:38:35
On_Foot,92,21:38:35
Walking,92,21:38:35
Unknown,92,21:38:35
In_Vehicle,96,21:38:43
Unknown,96,21:38:43
Still,96,21:38:43
Unknown,96,21:38:55
In_Vehicle,96,21:38:55
On_Bicycle,96,21:38:55
On_Foot,96,21:38:55
Walking,96,21:38:55
Running,96,21:38:55
Still,96,21:38:55
Unknown,96,21:39:06
In_Vehicle,96,21:39:06
On_Bicycle,96,21:39:06
On_Foot,96,21:39:06
Walking,96,21:39:06
Running,96,21:39:06
Still,96,21:39:06
Unknown,96,21:39:17
In_Vehicle,96,21:39:17
On_Bicycle,96,21:39:17
On_Foot,96,21:39:17
Walking,96,21:39:17
Running,96,21:39:17
Still,96,21:39:17
In_Vehicle,87,21:39:27
Still,87,21:39:27
On_Foot,87,21:39:27
Walking,87,21:39:27
On_Bicycle,87,21:39:27
Unknown,87,21:39:27
Unknown,87,21:39:39
In_Vehicle,87,21:39:39
On_Bicycle,87,21:39:39
On_Foot,87,21:39:39
Walking,87,21:39:39
Running,87,21:39:39
Still,87,21:39:39
Unknown,87,21:41:19
In_Vehicle,87,21:41:19
On_Bicycle,87,21:41:19
On_Foot,87,21:41:19
Walking,87,21:41:19
Running,87,21:41:19
Still,87,21:41:19
In_Vehicle,94,21:44:05
On_Bicycle,94,21:44:05
On_Foot,94,21:44:05
Walking,94,21:44:05
Running,94,21:44:05
Still,94,21:44:05
Unknown,94,21:55:21
In_Vehicle,94,21:55:21
On_Bicycle,94,21:55:21
On_Foot,94,21:55:21
Walking,94,21:55:21
Running,94,21:55:21
Still,94,21:55:21
Tilting,100,22:05:54
In_Vehicle,89,22:05:54
Still,89,22:05:54
Unknown,89,22:05:54
On_Foot,89,22:05:54
Walking,89,22:05:54
Unknown,89,22:06:10
In_Vehicle,89,22:06:10
On_Bicycle,89,22:06:10
On_Foot,89,22:06:10
Walking,89,22:06:10
Running,89,22:06:10
Still,89,22:06:10
In_Vehicle,89,22:06:25
On_Bicycle,89,22:06:25
On_Foot,89,22:06:25
Walking,89,22:06:25
Still,89,22:06:25
Unknown,89,22:06:25
In_Vehicle,88,22:06:40
Unknown,88,22:06:40
On_Bicycle,88,22:06:40
On_Foot,88,22:06:40
Walking,88,22:06:40
Still,88,22:06:40
In_Vehicle,86,22:06:55
On_Bicycle,86,22:06:55
On_Foot,86,22:06:55
Walking,86,22:06:55
Unknown,86,22:06:55
Unknown,86,22:07:07
In_Vehicle,86,22:07:07
On_Bicycle,86,22:07:07
On_Foot,86,22:07:07
Walking,86,22:07:07
Running,86,22:07:07
Still,86,22:07:07
In_Vehicle,89,22:07:18
Still,89,22:07:18
On_Foot,89,22:07:18
Walking,89,22:07:18
On_Bicycle,89,22:07:18
Unknown,89,22:07:18
Unknown,89,22:07:29
In_Vehicle,89,22:07:29
On_Bicycle,89,22:07:29
On_Foot,89,22:07:29
Walking,89,22:07:29
Running,89,22:07:29
Still,89,22:07:29
Unknown,89,22:07:41
In_Vehicle,89,22:07:41
On_Bicycle,89,22:07:41
On_Foot,89,22:07:41
Walking,89,22:07:41
Running,89,22:07:41
Still,89,22:07:41
Unknown,89,22:07:55
In_Vehicle,89,22:07:55
On_Bicycle,89,22:07:55
On_Foot,89,22:07:55
Walking,89,22:07:55
Running,89,22:07:55
Still,89,22:07:55
Unknown,89,22:08:11
In_Vehicle,89,22:08:11
On_Bicycle,89,22:08:11
On_Foot,89,22:08:11
Walking,89,22:08:11
Running,89,22:08:11
Still,89,22:08:11
Unknown,89,22:08:26
In_Vehicle,89,22:08:26
On_Bicycle,89,22:08:26
On_Foot,89,22:08:26
Walking,89,22:08:26
Running,89,22:08:26
Still,89,22:08:26
Unknown,89,22:08:41
In_Vehicle,89,22:08:41
On_Bicycle,89,22:08:41
On_Foot,89,22:08:41
Walking,89,22:08:41
Running,89,22:08:41
Still,89,22:08:41
Unknown,89,22:08:54
In_Vehicle,89,22:08:54
On_Bicycle,89,22:08:54
On_Foot,89,22:08:54
Walking,89,22:08:54
Running,89,22:08:54
Still,89,22:08:54
Unknown,89,22:09:05
In_Vehicle,89,22:09:05
On_Bicycle,89,22:09:05
On_Foot,89,22:09:05
Walking,89,22:09:05
Running,89,22:09:05
Still,89,22:09:05
Unknown,89,22:09:16
In_Vehicle,89,22:09:16
On_Bicycle,89,22:09:16
On_Foot,89,22:09:16
Walking,89,22:09:16
Running,89,22:09:16
Still,89,22:09:16
Unknown,89,22:09:28
In_Vehicle,89,22:09:28
On_Bicycle,89,22:09:28
On_Foot,89,22:09:28
Walking,89,22:09:28
Running,89,22:09:28
Still,89,22:09:28
In_Vehicle,90,22:09:39
Still,90,22:09:39
Unknown,90,22:09:39
On_Foot,90,22:09:39
Walking,90,22:09:39
In_Vehicle,97,22:09:50
Unknown,97,22:09:50
Unknown,97,22:10:00
In_Vehicle,97,22:10:00
On_Bicycle,97,22:10:00
On_Foot,97,22:10:00
Walking,97,22:10:00
Running,97,22:10:00
Still,97,22:10:00
,,
,,
,,
,,
,,
,,
,,
